,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,41,1,2,1102,2,1,2,1,2,0,94,3,2,7,4,2,5993,19479,8,1,11,3,1,8,0,1,6,4,0,5
1,49,0,1,279,1,8,1,1,3,1,61,2,2,6,2,1,5130,24907,1,0,23,4,4,10,3,3,10,7,1,7
2,37,1,2,1373,1,2,2,4,4,1,92,2,1,2,3,2,2090,2396,6,1,15,3,2,7,3,3,0,0,0,0
3,33,0,1,1392,1,3,4,1,4,0,56,3,1,6,3,1,2909,23159,1,1,11,3,3,8,3,3,8,7,3,0
4,27,0,2,591,1,2,1,3,1,1,40,3,1,2,2,1,3468,16632,9,0,12,3,4,6,3,3,2,2,2,2
5,32,0,1,1005,1,2,2,1,4,1,79,3,1,2,4,2,3068,11864,0,0,13,3,3,8,2,2,7,7,3,6
6,59,0,2,1324,1,3,3,3,3,0,81,4,1,2,1,1,2670,9964,4,1,20,4,1,12,3,2,1,0,0,0
7,30,0,2,1358,1,24,1,1,4,1,67,3,1,2,3,0,2693,13335,1,0,22,4,2,1,2,3,1,0,0,0
8,38,0,1,216,1,23,3,1,4,1,44,2,3,4,3,2,9526,8787,0,0,21,4,2,10,2,3,9,7,1,8
9,36,0,2,1299,1,27,3,3,3,1,94,3,2,0,3,1,5237,16577,6,0,13,3,2,17,3,2,7,7,7,7
10,35,0,2,809,1,16,3,3,1,1,84,4,1,2,2,1,2426,16479,0,0,13,3,3,6,5,3,5,4,0,3
11,29,0,2,153,1,15,2,1,4,0,49,2,2,2,3,2,4193,12682,0,1,12,3,4,10,3,3,9,5,0,8
12,31,0,2,670,1,26,1,1,1,1,31,3,1,6,3,0,2911,15170,1,0,17,3,4,5,1,2,5,2,4,3
13,34,0,2,1346,1,19,2,3,2,1,93,3,1,2,4,0,2661,8758,0,0,11,3,3,3,2,3,2,2,1,2
14,28,1,2,103,1,24,3,1,3,1,50,2,1,2,3,2,2028,12947,5,1,14,3,2,6,4,3,4,2,0,3
15,29,0,2,1389,1,21,4,1,2,0,51,4,3,4,1,0,9980,10195,1,0,11,3,3,10,1,3,10,9,8,8
